;Proband;NumLayers;Completed_Num;Completed_Total;Completed_Avg;Failed_Num;Failed_Total;Failed_Avg;Terminated_Num;Terminated_Total;Terminated_Avg;Sum_Num;Sum_Total;All_Avg
0;1;6;27.0;164.663;6.09862962962963;0.0;0.0;0.0;18.0;73.467;4.0815;45.0;238.13;5.291777777777778
1;1;9;31.0;210.685;6.796290322580645;0.0;0.0;0.0;14.0;107.125;7.651785714285714;45.0;317.81;7.062444444444444
2;1;12;29.0;219.66400000000002;7.574620689655173;1.0;8.897;8.897;15.0;83.795;5.586333333333333;45.0;312.356;6.941244444444444
3;1;15;33.0;264.755;8.022878787878788;2.0;23.428;11.714;10.0;65.496;6.5496;45.0;353.679;7.859533333333332
4;1;18;31.0;247.034;7.968838709677419;1.0;9.593;9.593;13.0;108.25399999999999;8.327230769230768;45.0;364.881;8.108466666666667
5;1;21;27.0;227.109;8.411444444444445;3.0;29.03;9.676666666666668;15.0;157.303;10.486866666666666;45.0;413.442;9.1876
6;2;6;39.0;247.412;6.3438974358974365;0.0;0.0;0.0;6.0;29.464;4.910666666666667;45.0;276.876;6.152799999999999
7;2;9;41.0;341.058;8.318487804878048;0.0;0.0;0.0;4.0;25.044;6.261;45.0;366.102;8.1356
8;2;12;40.0;405.377;10.134425;2.0;14.977;7.4885;3.0;27.88;9.293333333333333;45.0;448.234;9.960755555555554
9;2;15;34.0;319.828;9.40670588235294;1.0;8.288;8.288;10.0;105.959;10.5959;45.0;434.075;9.64611111111111
10;2;18;36.0;428.535;11.90375;3.0;30.058;10.019333333333334;6.0;75.873;12.6455;45.0;534.466;11.877022222222223
11;2;21;33.0;397.57;12.047575757575757;3.0;26.560000000000002;8.853333333333333;9.0;90.029;10.003222222222222;45.0;514.159;11.425755555555556
12;3;6;22.0;127.125;5.778409090909091;2.0;9.129000000000001;4.564500000000001;21.0;107.049;5.097571428571429;45.0;243.303;5.406733333333333
13;3;9;24.0;180.867;7.536124999999999;2.0;10.613;5.3065;19.0;103.20400000000001;5.431789473684211;45.0;294.68399999999997;6.548533333333332
14;3;12;22.0;189.814;8.62790909090909;0.0;0.0;0.0;23.0;145.891;6.343086956521739;45.0;335.705;7.460111111111111
15;3;15;27.0;260.573;9.65085185185185;2.0;38.447;19.2235;16.0;147.157;9.1973125;45.0;446.177;9.915044444444446
16;3;18;25.0;257.741;10.30964;1.0;18.879;18.879;19.0;305.337;16.07036842105263;45.0;581.957;12.932377777777777
17;3;21;21.0;240.042;11.43057142857143;1.0;22.402;22.402;23.0;299.836;13.036347826086956;45.0;562.28;12.495111111111111
18;4;6;24.0;180.22899999999998;7.509541666666666;0.0;0.0;0.0;21.0;95.25;4.535714285714286;45.0;275.479;6.121755555555556
19;4;9;27.0;248.687;9.21062962962963;0.0;0.0;0.0;18.0;143.826;7.990333333333333;45.0;392.51300000000003;8.722511111111112
20;4;12;18.0;183.469;10.192722222222223;0.0;0.0;0.0;27.0;267.007;9.889148148148148;45.0;450.476;10.010577777777778
21;4;15;15.0;202.232;13.482133333333334;0.0;0.0;0.0;30.0;462.525;15.417499999999999;45.0;664.757;14.772377777777777
22;4;18;12.0;208.792;17.399333333333335;0.0;0.0;0.0;33.0;595.302;18.039454545454547;45.0;804.094;17.868755555555556
23;4;21;15.0;230.04;15.336;0.0;0.0;0.0;30.0;596.902;19.896733333333334;45.0;826.942;18.37648888888889
24;5;6;37.0;212.10500000000002;5.7325675675675685;0.0;0.0;0.0;8.0;36.051;4.506375;45.0;248.156;5.514577777777778
25;5;9;34.0;223.498;6.573470588235294;0.0;0.0;0.0;11.0;49.754;4.523090909090909;45.0;273.252;6.072266666666667
26;5;12;39.0;302.402;7.753897435897436;0.0;0.0;0.0;6.0;33.928;5.6546666666666665;45.0;336.33;7.473999999999999
27;5;15;30.0;256.934;8.564466666666668;1.0;6.21;6.21;14.0;103.919;7.422785714285714;45.0;367.063;8.156955555555555
28;5;18;34.0;300.165;8.828382352941176;0.0;0.0;0.0;11.0;95.319;8.665363636363637;45.0;395.48400000000004;8.788533333333334
29;5;21;30.0;287.094;9.569799999999999;0.0;0.0;0.0;15.0;106.616;7.107733333333333;45.0;393.71;8.74911111111111
30;6;6;40.0;272.829;6.820725;0.0;0.0;0.0;5.0;24.025;4.805;45.0;296.854;6.596755555555555
